Raan,Animal,Ancient's Ascent,Animal Allegiance,Vanilla,
Mir,Allegiance,Angarvunde,Animal Allegiance,Vanilla,
Tah,Pack,Ysgramor's Tomb,Animal Allegiance,Vanilla,
Laas,Life,Northwind Summit,Aura Whisper,Vanilla,
Yah,Seek,Valthume,Aura Whisper,Vanilla,
Nir,Hunt,Volunruud,Aura Whisper,Vanilla,
Feim,Fade,Ironbind Barrow,Become Ethereal,Vanilla,
Zii,Spirit,Lost Valley Redoubt,Become Ethereal,Vanilla,
Gron,Bind,Ustengrav - During The Horn of Jurgen Windcaller,Become Ethereal,Vanilla,
Od,Snow,High Hrothgar - During The Fallen,Call Dragon,Vanilla,
Ah,Hunter,High Hrothgar - During The Fallen,Call Dragon,Vanilla,
Viing,Wing,High Hrothgar - During The Fallen,Call Dragon,Vanilla,
Hun,Hero,Sovngarde - During Dragonslayer,Call of Valor,Vanilla,
Kaal,Champion,Sovngarde - During Dragonslayer,Call of Valor,Vanilla,
Zoor,Legend,Sovngarde - During Dragonslayer,Call of Valor,Vanilla,
Lok,Sky,High Hrothgar - During The Throat of the World,Clear Skies,Vanilla,
Vah,Spring,High Hrothgar - During The Throat of the World,Clear Skies,Vanilla,
Koor,Summer,High Hrothgar - During The Throat of the World,Clear Skies,Vanilla,
Zun,Weapon,Eldersblood Peak,Disarm,Vanilla,
Haal,Hand,Silverdrift Lair,Disarm,Vanilla,
Viik,Defeat,Snow Veil Sanctum (quest locked),Disarm,Vanilla,
Faas,Fear,Dead Crone Rock,Dismay,Vanilla,
Ru,Run,Lost Tongue Overlook,Dismay,Vanilla,
Maar,Terror,Shalidor's Maze,Dismay,Vanilla,
Joor,Mortal,Throat of the World - During Alduin's Bane,Dragonrend,Vanilla,
Zah,Finite,Throat of the World - During Alduin's Bane,Dragonrend,Vanilla,
Frul,Temporary,Throat of the World - During Alduin's Bane,Dragonrend,Vanilla,
Su,Air,Dragontooth Crater,Elemental Fury,Vanilla,
Grah,Battle,Shriekwind Bastion,Elemental Fury,Vanilla,
Dun,Grace,Statue to Meridia,Elemental Fury,Vanilla,
Yol,Fire,Dustman's Cairn - During Proving Honor,Fire Breath,Vanilla,
Toor,Inferno,Sunderstone Gorge,Fire Breath,Vanilla,
Shul,Sun,Throat of the World - During Throat of the World,Fire Breath,Vanilla,
Fo,Frost,Bonestrewn Crest,Frost Breath,Vanilla,
Krah,Cold,Folgunthur,Frost Breath,Vanilla,
Diin,Freeze,Skyborn Altar,Frost Breath,Vanilla,
Iiz,Ice,Frostmere Crypt,Ice Form,Vanilla,
Slen,Flesh,Mount Anthor,Ice Form,Vanilla,
Nus,Statue,Saarthal (quest locked),Ice Form,Vanilla,
Kaan,Kyne,Ragnvald,Kyne's Peace,Vanilla,
Drem,Peace,Rannveig's Fast,Kyne's Peace,Vanilla,
Ov,Trust,Shroud Hearth Barrow,Kyne's Peace,Vanilla,
Krii,Kill,Autumnwatch Tower,Marked for Death,Vanilla,
