Location Name,Coordinates,Location Category,Region,Check
Abandoned Prison,[I5],Imperial Tower,Eastmarch,
Abandoned Shack,[E2],Shack,Hjaalmarch,
Alchemist's Shack,[H7],Shack,The Rift,
Alftand,[I3],Dwarven Ruin,Winterhold,
Ancient's Ascent,[F8],Dragon Lair,Falkreath Hold,
Anga's Mill,[I4],Wood Mill,The Pale,
Angarvunde,[I8],Nordic Ruin,Eastmarch,
Angi's Camp,[F8],Shack,Falkreath Hold,
Anise's Cabin,[F6],Shack,Falkreath Hold,
Ansilvund,[L6],Nordic Ruin,Eastmarch,
Arcwind Point,[H7],Nordic Ruin,The Rift,
Autumnshade Clearing,[K7],Clearing,The Rift,
Autumnwatch Tower,[I7],Dragon Lair,The Rift,
Avanchnzel,[J8],Dwarven Ruin,The Rift,
Bannermist Tower,[E7],Nordic Tower,Falkreath Hold,
Bard's Leap Summit,[D5],Landmark,The Reach,
Battle-Born Farm,[G5],Wheat Mill,Whiterun Hold,
Bilegulch Mine,[D6],Mine,Falkreath Hold,
Black-Briar Lodge,[L7],Settlement,The Rift,
Bleak Falls Barrow,[F6],Nordic Ruin,Falkreath Hold,
Bleakcoast Cave,[K2],Cave,Winterhold,
Bleakwind Basin,[F5],Giant Camp,Whiterun Hold,
Bleakwind Bluff,[C4],Nordic Tower,The Reach,
Blind Cliff Cave,[B4],Cave,The Reach,
Blizzard Rest,[G4],Giant Camp,The Pale,
Bloated Man's Grotto,[E6],Cave,Falkreath Hold,
Bloodlet Throne,[F8],Military Fort,Falkreath Hold,
Blue Palace,[E2],Castle,Haafingar,
Bonechill Passage,[F7],Cave,Falkreath Hold,
Bonestrewn Crest,[J5],Dragon Lair,Eastmarch,
Boulderfall Cave,[J7],Cave,The Rift,
Brandy-Mug Farm,[J4],Farm/Settlement,Eastmarch,
Brinewater Grotto,[E1],Cave,Haafingar,
Broken Fang Cave,[E5],Cave,Whiterun Hold,
Broken Helm Hollow,[L8],Cave,The Rift,
Broken Limb Camp,[J5],Giant Camp,Eastmarch,
Broken Oar Grotto,[D1],Cave,Haafingar,
Broken Tower Redoubt,[C4],Military Fort,The Reach,
Bronze Water Cave,[I4],Cave,The Pale,
Brood Cavern,[E3],Cave,Hjaalmarch,
Bruca's Leap Redoubt,[B3],Cave,The Reach,
Bthardamz,[A3],Dwarven Ruin,The Reach,
Chillfurrow Farm,[G5],Wheat Mill,Whiterun Hold,
Chillwind Depths,[C3],Cave,Hjaalmarch,
Clearpine Pond,[C2],Clearing,Haafingar,
Clearspring Tarn,[J6],Clearing,The Rift,
Cliffside Retreat,[C3],Shack,The Reach,
Cold Rock Pass,,Cave/Pass,Whiterun Hold,
College of Winterhold,[J1],Guild Hall,Winterhold,
Crabber's Shanty,[D4],Shack,Hjaalmarch,
Cracked Tusk Keep,[E7],Military Fort,Falkreath Hold,
Cradle Stone Tower,[C5],Nordic Tower,The Reach,
Cradlecrush Rock,[I5],Giant Camp,Eastmarch,
Cragslane Cavern,[K6],Cave,Eastmarch,
Cragwallow Slope,[K5],Cave,Eastmarch,
Cronvangr Cave,[J5],Cave,Eastmarch,
Crystaldrift Cave,[K8],Cave,The Rift,
Dainty Sload,[E1],Shipwreck,Haafingar,
Dark Brotherhood Sanctuary,,Guild Hall,Falkreath Hold,
Darklight Tower,[J8],Military Fort,The Rift,
Darkshade,[I5],Cave,Falkreath Hold,
Darkwater Crossing,[J6],Settlement/Mine,Eastmarch,
Darkwater Pass,[I6],Cave,The Rift,
Dawnstar,[G2],City,The Pale,
Dawnstar Sanctuary,[G1],Guild Hall,The Pale,
Dead Crone Rock,[A5],Nordic Tower,The Reach,
Dead Men's Respite,[D3],Nordic Ruin,Hjaalmarch,
Deep Folk Crossing,[B3],Landmark,The Reach,
Deepwood Redoubt,[B2],Nordic Ruin,The Reach,
Dragon Bridge,[C2],Town,Haafingar,
Dragon Bridge Overlook,[C3],Camp,The Reach,
Dragonsreach,[G4],Castle,Whiterun Hold,
Dragontooth Crater,[B3],Dragon Lair,The Reach,
Drelas' Cottage,[F4],Shack,Whiterun Hold,
Driftshade Refuge,[H2],Military Fort,Winterhold,
Druadach Redoubt,[B3],Camp,The Reach,
Dushnikh Yal,[B5],Orc Stronghold,The Reach,
Duskglow Crevice,[H3],Cave,The Pale,
Dustman's Cairn,[F4],Nordic Ruin,The Reach,
Eastmarch Imperial Camp,[K5],Imperial Camp,Eastmarch,
Eldergleam Sanctuary,[J6],Cave,Eastmarch,
Eldersblood Peak,[E3],Dragon Lair,Hjaalmarch,
Embershard Mine,[F6],Mine,Falkreath Hold,
Evergreen Grove,[E7],Grove,Falkreath Hold,
Faldar's Tooth,[J7],Military Fort,The Rift,
Falkreath,[E7],City,Falkreath Hold,
Falkreath Imperial Camp,,Imperial Camp,Falkreath Hold,
Falkreath Stormcloak Camp,[G7],Stormcloak Camp,Falkreath Hold,
Falkreath Watchtower,[E7],Imperial Tower,Falkreath Hold,
Fallowstone Cave,[L7],Cave,The Rift,
Fellglow Keep,[H4],Military Fort,Whiterun Hold,
Folgunthur,[E2],Nordic Ruin,Hjaalmarch,
Forelhost,[L8],Nordic Ruin,The Rift,
Forsaken Cave,[I3],Cave,The Pale,
Fort Amol,[I5],Military Fort,Eastmarch,
Fort Dunstad,[G3],Military Fort,The Pale,
Fort Fellhammer,[G3],Military Fort/Mine,Winterhold,
Fort Greenwall,[K7],Military Fort,The Rift,
Fort Greymoor,[F5],Military Fort,Whiterun Hold,
Fort Hraggstad,[C1],Military Fort,Haafingar,
Fort Kastav,[J3],Military Fort,Winterhold,
Fort Neugrad,[G7],Military Fort,Falkreath Hold,
Fort Snowhawk,[E3],Military Fort,Hjaalmarch,
Fort Sungard,[D5],Military Fort,The Reach,
Four Skull Lookout,[B4],Ruins,The Reach,
Froki's Shack,[I8],Shack,The Rift,
Frostflow Lighthouse,[H2],Lighthouse,Winterhold,
Frostmere Crypt,[G3],Nordic Ruin,The Pale,
Gallows Rock,[I5],Military Fort,Eastmarch,
Geirmund's Hall,[I7],Nordic Ruin,The Rift,
Giant's Grove,[L7],Grove,The Rift,
